Query,Time,Value,Unit
"name=""mitt romney""and channel=""MSNBC""",2015-05-18,89.81899999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-05-25,53.901999999999994,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-06-01,26.907000000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-06-08,774.749,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-06-15,1765.8989999999997,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-06-22,47.879999999999995,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-06-29,71.61,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-07-06,32.909,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-07-13,23.969,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-07-20,190.54299999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-07-27,92.576,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-08-03,23.849,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-08-10,26.88,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-08-17,83.54400000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-08-24,11.969999999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-08-31,333.788,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-09-07,41.727000000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-09-14,244.83599999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-09-21,56.574,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-09-28,128.638,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-10-05,59.544,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-10-12,113.30300000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-10-19,53.574,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-10-26,140.061,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-11-02,50.665,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-11-09,139.716,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-11-16,77.424,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-11-23,29.482,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-11-30,20.877,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-12-07,68.60600000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-12-14,181.72399999999996,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-12-21,29.817999999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2015-12-28,8.969999999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-01-04,95.57300000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-01-11,32.759,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-01-25,65.455,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-02-01,26.819000000000003,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-02-08,14.908999999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-02-22,625.845,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-02-29,5243.756999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-03-07,1481.27,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-03-14,444.8980000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-03-21,157.84799999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-03-28,74.607,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-04-04,53.666,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-04-18,47.635,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-04-25,23.909,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-05-02,482.751,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-05-09,302.40999999999997,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-05-16,145.71499999999997,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-05-23,229.725,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-05-30,194.867,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-06-06,295.24100000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-06-13,38.848,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-06-20,68.696,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-06-27,128.273,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-07-04,86.363,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-07-11,205.63299999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-07-18,53.788000000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-07-25,71.454,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-08-01,196.69299999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-08-08,374.23299999999995,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-08-15,80.453,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-08-22,47.727,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-08-29,220.27499999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-09-05,50.667,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-09-12,35.879999999999995,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-09-19,167.27499999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-09-26,154.94100000000003,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-10-03,349.956,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-10-10,53.864,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-10-17,236.39899999999997,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-10-24,122.55600000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-10-31,131.61200000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-11-07,161.53099999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-11-14,2403.718,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-11-21,1344.0679999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-11-28,2679.197000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-12-05,562.548,seconds
"name=""mitt romney""and channel=""MSNBC""",2016-12-12,146.56199999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2017-01-30,6,seconds
"name=""mitt romney""and channel=""MSNBC""",2017-02-20,14.959,seconds
"name=""mitt romney""and channel=""MSNBC""",2017-02-27,5.986,seconds
"name=""mitt romney""and channel=""MSNBC""",2017-03-13,14.945,seconds
"name=""mitt romney""and channel=""MSNBC""",2017-03-27,5.986,seconds
"name=""mitt romney""and channel=""MSNBC""",2017-04-03,20.945,seconds
"name=""mitt romney""and channel=""MSNBC""",2017-04-10,32.903,seconds
"name=""mitt romney""and channel=""MSNBC""",2017-05-01,3,seconds
"name=""mitt romney""and channel=""MSNBC""",2017-06-05,6,seconds
"name=""mitt romney""and channel=""MSNBC""",2017-06-19,20.946,seconds
"name=""mitt romney""and channel=""MSNBC""",2017-06-26,6,seconds
