"COU","Country","TAX","Income Tax","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GRC","Greece","PERS_ITAX","Personal income tax","2013","2013",,,"0","Units",,,46,,
"GRC","Greece","PERS_ITAX","Personal income tax","2014","2014",,,"0","Units",,,46,,
"GRC","Greece","PERS_ITAX","Personal income tax","2015","2015",,,"0","Units",,,60,,
"GRC","Greece","PERS_ITAX","Personal income tax","2016","2016",,,"0","Units",,,55,,
"GRC","Greece","PERS_ITAX","Personal income tax","2017","2017",,,"0","Units",,,55,,
"GRC","Greece","PERS_ITAX","Personal income tax","2018","2018",,,"0","Units",,,55,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2000","2000",,,"0","Units",,,56,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2001","2001",,,"0","Units",,,56,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2002","2002",,,"0","Units",,,56,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2003","2003",,,"0","Units",,,55.875,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2004","2004",,,"0","Units",,,56,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2005","2005",,,"0","Units",,,56,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2006","2006",,,"0","Units",,,59,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2007","2007",,,"0","Units",,,54,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2008","2008",,,"0","Units",,,45,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2009","2009",,,"0","Units",,,45,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2010","2010",,,"0","Units",,,40.64,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2011","2011",,,"0","Units",,,35.56,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2012","2012",,,"0","Units",,,20.32,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2013","2013",,,"0","Units",,,16,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2014","2014",,,"0","Units",,,16,,
