"province_state","country_region","lat","long","date","cases","deaths","date_upd","is_country"
NA,"Algeria",28.0339,1.6596,"2/23/20",0,0,2020-02-23,TRUE
NA,"Algeria",28.0339,1.6596,"2/24/20",0,0,2020-02-24,TRUE
NA,"Algeria",28.0339,1.6596,"2/25/20",1,0,2020-02-25,TRUE
NA,"Algeria",28.0339,1.6596,"2/26/20",1,0,2020-02-26,TRUE
NA,"Algeria",28.0339,1.6596,"2/27/20",1,0,2020-02-27,TRUE
NA,"Algeria",28.0339,1.6596,"2/28/20",1,0,2020-02-28,TRUE
NA,"Algeria",28.0339,1.6596,"2/29/20",1,0,2020-02-29,TRUE
NA,"Algeria",28.0339,1.6596,"3/1/20",1,0,2020-03-01,TRUE
NA,"Algeria",28.0339,1.6596,"3/2/20",3,0,2020-03-02,TRUE
NA,"Algeria",28.0339,1.6596,"3/3/20",5,0,2020-03-03,TRUE
NA,"Algeria",28.0339,1.6596,"3/4/20",12,0,2020-03-04,TRUE
NA,"Algeria",28.0339,1.6596,"3/5/20",12,0,2020-03-05,TRUE
NA,"Algeria",28.0339,1.6596,"3/6/20",17,0,2020-03-06,TRUE
NA,"Algeria",28.0339,1.6596,"3/7/20",17,0,2020-03-07,TRUE
NA,"Algeria",28.0339,1.6596,"3/8/20",19,0,2020-03-08,TRUE
NA,"Algeria",28.0339,1.6596,"3/9/20",20,0,2020-03-09,TRUE
NA,"Algeria",28.0339,1.6596,"3/10/20",20,0,2020-03-10,TRUE
NA,"Algeria",28.0339,1.6596,"3/11/20",20,0,2020-03-11,TRUE
NA,"Algeria",28.0339,1.6596,"3/12/20",24,1,2020-03-12,TRUE
NA,"Algeria",28.0339,1.6596,"3/13/20",26,2,2020-03-13,TRUE
NA,"Algeria",28.0339,1.6596,"3/14/20",37,3,2020-03-14,TRUE
NA,"Algeria",28.0339,1.6596,"3/15/20",48,4,2020-03-15,TRUE
NA,"Algeria",28.0339,1.6596,"3/16/20",54,4,2020-03-16,TRUE
NA,"Algeria",28.0339,1.6596,"3/17/20",60,4,2020-03-17,TRUE
NA,"Algeria",28.0339,1.6596,"3/18/20",74,7,2020-03-18,TRUE
